"ds","y"
"1978-04-01","28.73"
"1978-05-01","35.18064516129032"
"1978-06-01","33.010000000000005"
"1978-07-01","29.067741935483873"
"1978-08-01","28.567741935483873"
"1978-09-01","28.653333333333336"
"1978-10-01","26.064516129032256"
"1978-11-01","20.533333333333335"
"1978-12-01","14.970967741935485"
"1979-01-01","14.903225806451612"
"1979-02-01","16.04285714285714"
"1979-03-01","21.174193548387098"
"1979-04-01","29.453333333333337"
"1979-05-01","31.083870967741934"
"1979-06-01","33.46666666666667"
"1979-07-01","30.94193548387097"
"1979-08-01","30.748387096774195"
"1979-09-01","29.326666666666664"
"1979-10-01","26.81612903225807"
"1979-11-01","21.583333333333336"
"1979-12-01","15.558064516129033"
"1980-01-01","13.5"
"1980-02-01","18.393103448275863"
"1980-03-01","21.703225806451613"
